338 	 1 	 3 
338 	 NODETYPE 
1	1	0.0	0.0	0.0
2	1	0.0	0.0	0.025
3	1	0.0	0.025	0.0
4	1	0.0	0.025	0.025
5	1	0.0	0.05	0.0
6	1	0.0	0.05	0.025
7	1	0.0	0.075	0.0
8	1	0.0	0.075	0.025
9	1	0.0	0.1	0.0
10	1	0.0	0.1	0.025
11	1	0.0	0.125	0.0
12	1	0.0	0.125	0.025
13	1	0.0	0.15	0.0
14	1	0.0	0.15	0.025
15	1	0.0	0.175	0.0
16	1	0.0	0.175	0.025
17	1	0.0	0.2	0.0
18	1	0.0	0.2	0.025
19	1	0.0	0.225	0.0
20	1	0.0	0.225	0.025
21	1	0.0	0.25	0.0
22	1	0.0	0.25	0.025
23	1	0.0	0.275	0.0
24	1	0.0	0.275	0.025
25	1	0.0	0.3	0.0
26	1	0.0	0.3	0.025
27	1	0.025	0.0	0.0
28	1	0.025	0.0	0.025
29	1	0.025	0.025	0.0
30	1	0.025	0.025	0.025
31	1	0.025	0.05	0.0
32	1	0.025	0.05	0.025
33	1	0.025	0.075	0.0
34	1	0.025	0.075	0.025
35	1	0.025	0.1	0.0
36	1	0.025	0.1	0.025
37	1	0.025	0.125	0.0
38	1	0.025	0.125	0.025
39	1	0.025	0.15	0.0
40	1	0.025	0.15	0.025
41	1	0.025	0.175	0.0
42	1	0.025	0.175	0.025
43	1	0.025	0.2	0.0
44	1	0.025	0.2	0.025
45	1	0.025	0.225	0.0
46	1	0.025	0.225	0.025
47	1	0.025	0.25	0.0
48	1	0.025	0.25	0.025
49	1	0.025	0.275	0.0
50	1	0.025	0.275	0.025
51	1	0.025	0.3	0.0
52	1	0.025	0.3	0.025
53	1	0.05	0.0	0.0
54	1	0.05	0.0	0.025
55	1	0.05	0.025	0.0
56	1	0.05	0.025	0.025
57	1	0.05	0.05	0.0
58	1	0.05	0.05	0.025
59	1	0.05	0.075	0.0
60	1	0.05	0.075	0.025
61	1	0.05	0.1	0.0
62	1	0.05	0.1	0.025
63	1	0.05	0.125	0.0
64	1	0.05	0.125	0.025
65	1	0.05	0.15	0.0
66	1	0.05	0.15	0.025
67	1	0.05	0.175	0.0
68	1	0.05	0.175	0.025
69	1	0.05	0.2	0.0
70	1	0.05	0.2	0.025
